title,title_english,title_romaji,title_native,year,season,format,episodes,canonical_key,mal_id,anilist_id,kitsu_id,anidb_id,imdb_id,tvdb_id,tmdb_id,simkl_id,status,progress,score,last_updated,source
MF Ghost 2nd Season,MF GHOST 2nd Season,MF Ghost 2nd Season,MFゴースト,2024,FALL,TV,12,kitsu_48337,57559,171642,48337,18327,tt28299608,414207,154526,,completed,12,0,2026-06-30T12:12:42.011000+00:00,
MF Ghost 3rd Season,MF GHOST 3rd Season,MF Ghost 3rd Season,MFゴースト 3rd Season,2026,WINTER,TV,13,mal_60602,60602,185753,49441,19071,tt28299608,414207,154526,2667700,watching,0,0,2026-08-07T21:10:41.801888+00:00,
MF Ghost Battle Digest,MF Ghost: Battle Digest,MF Ghost Battle Digest,MFゴースト BATTLE DIGEST,2024,WINTER,ONA,1,mal_59019,59019,,,,,,,,watching,0,0,2026-06-30T13:45:16+00:00,arm
Mieruko-chan,"The Girl That Sees ""Them""",Mieruko-chan,見える子ちゃん,2021,FALL,TV,12,mal_48483,48483,131083,44185,16132,tt14271890,399121,121078,1568925,completed,12,0,2026-07-21T18:20:09+00:00,
Mieruko-chan,"The Girl That Sees ""Them""",Mieruko-chan,見える子ちゃん,2021,FALL,TV,12,kitsu_44185,48483,131083,44185,16132,tt14271890,399121,121078,,watching,3,0,2026-06-30T11:42:25.254000+00:00,
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu","Story of Lasting Period A Court Magician, Who Was Focused On Supportive Magic Because His Allies Were Too Weak, Aims To Become The Strongest After Being Banished","Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu",味方が弱すぎて補助魔法に徹していた宮廷魔法師,2025,FALL,TV,12,mal_61276,61276,188487,49715,19231,tt36631539,461708,286984,2864124,completed,12,0,2026-08-14T11:45:13.405000+00:00,
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu","Story of Lasting Period A Court Magician, Who Was Focused On Supportive Magic Because His Allies Were Too Weak, Aims To Become The Strongest After Being Banished","Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu",味方が弱すぎて補助魔法に徹していた宮廷魔法師,2025,FALL,TV,12,kitsu_49715,61276,188487,49715,19231,tt36631539,461708,286984,,watching,12,0,2026-01-24T22:34:14.904000+00:00,
Mimi wo Sumaseba,Stimme des Herzens - Whisper of the Heart,Mimi wo Sumaseba,耳をすませば,1995,SUMMER,MOVIE,1,mal_585,585,585,540,336,tt0113824,,[37797],38494,completed,1,0,2026-07-21T10:00:14+00:00,
Mimi wo Sumaseba,Stimme des Herzens - Whisper of the Heart,Mimi wo Sumaseba,耳をすませば,1995,SUMMER,MOVIE,1,kitsu_540,585,585,540,336,tt0113824,,[37797],38494,completed,1,0,2025-02-15T18:42:59.606000+00:00,
Mizu Zokusei no Mahoutsukai,The Water Magician: The Central Provinces Arc,Mizu Zokusei no Mahoutsukai,水属性の魔法使い,2025,SUMMER,TV,12,mal_60732,60732,186052,49493,19097,tt36592736,456435,281615,2682272,watching,12,0,2026-07-19T08:03:19+00:00,
